trip_distance_id,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,rate_code_name,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,payment_type_name,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
115,2,2016-03-10T13:09:27,2016-03-10T13:18:36,5,3.9,Standard rate,40.75513077,-73.9732666,40.74747849,-73.98551178,Cash,7,0,0.5,0,0,0.3,7.8
116,2,2016-03-10T07:57:25,2016-03-10T07:57:27,3,0.2,Negotiated fare,40.73072815,-74.00276947,40.73072052,-74.00276947,Credit card,11.3,0,0,0,0,0.3,11.6
117,2,2016-03-10T09:06:18,2016-03-10T09:06:21,1,7.91,Negotiated fare,0,0,0,0,Credit card,11.3,0,0,0,0,0.3,11.6
118,2,2016-03-10T13:28:57,2016-03-10T13:29:00,1,10,Negotiated fare,0,0,40.75537109,-73.96814728,Credit card,12.8,0,0,0,0,0.3,13.1
119,2,2016-03-10T09:50:43,2016-03-10T09:50:56,1,1.07,Negotiated fare,40.7627182,-73.97856903,40.7627182,-73.97856903,Credit card,13.8,0,0.5,0,0,0.3,14.6
120,2,2016-03-01T04:18:52,2016-03-01T04:19:01,1,9.1,Negotiated fare,40.7299614,-74.03408813,40.7299614,-74.03408813,Credit card,72,0,0.5,0,0,0.3,72.8
121,2,2016-03-01T03:16:00,2016-03-01T03:16:09,1,18.9,Negotiated fare,40.76681137,-73.52636719,40.76681137,-73.52636719,Credit card,80,0,0.5,0,0,0.3,80.8
122,2,2016-03-01T02:47:54,2016-03-01T02:47:57,1,0.58,Negotiated fare,0,0,40.72502899,-73.9872818,Credit card,65,0,0,0,0,0.3,65.3
123,2,2016-03-10T10:41:36,2016-03-10T10:42:11,1,2.59,Negotiated fare,40.76985931,-73.86431122,40.77053833,-73.86530304,Cash,85,0,0,0,0,0.3,85.3
124,2,2016-03-10T08:01:08,2016-03-10T08:02:46,1,5.98,Negotiated fare,40.89707947,-73.81371307,40.89709091,-73.81371307,Credit card,106,0,0,15,0,0.3,121.3
125,2,2016-03-01T00:52:15,2016-03-01T00:53:11,1,0.42,Negotiated fare,0,0,0,0,Credit card,60,0,0,10,0,0.3,70.3
126,2,2016-03-01T05:25:22,2016-03-01T05:26:51,1,9.55,Negotiated fare,0,0,40.69095993,-74.17725372,Credit card,94,0,0.5,8,0,0.3,102.8
127,2,2016-03-10T14:20:07,2016-03-10T14:20:35,1,0.35,Negotiated fare,40.71268845,-74.35462952,40.71268845,-74.35462952,Credit card,122,0,0.5,0,0,0.3,122.8
128,2,2016-03-01T02:37:18,2016-03-01T02:37:20,1,8.97,Negotiated fare,0,0,0,0,Credit card,75,0,0,0,0,0.3,75.3
129,1,2016-03-01T01:05:33,2016-03-01T01:05:45,2,3.49,JFK,40.72412109,-73.98064423,40.72412109,-73.98064423,Credit card,52,0,0.5,15,0,0.3,67.8
130,2,2016-03-10T09:16:01,2016-03-10T09:17:28,1,1.53,Negotiated fare,0,0,0,0,Credit card,65,0,0.5,2,0,0.3,67.8
131,2,2016-03-10T14:16:59,2016-03-10T14:23:33,1,3.77,Standard rate,40.7620697,-73.96819305,40.76276016,-73.97338867,Credit card,5.5,0,0.5,1.26,0,0.3,7.56
132,2,2016-03-10T10:18:21,2016-03-10T10:25:09,5,1.65,Standard rate,40.73015594,-73.98935699,40.72992325,-73.98681641,Credit card,5.5,0,0.5,1.26,0,0.3,7.56
133,2,2016-03-10T09:40:41,2016-03-10T09:46:58,1,1.96,Standard rate,40.75247955,-73.98222351,40.76195908,-73.97281647,Credit card,5.5,0,0.5,1.26,0,0.3,7.56
134,2,2016-03-10T11:38:02,2016-03-10T11:52:44,1,1.6,Standard rate,40.78055954,-73.98394012,40.76396179,-73.9777832,Credit card,9.5,0,0.5,3.09,0,0.3,13.39
135,2,2016-03-01T01:01:11,2016-03-01T01:01:16,1,5.14,Negotiated fare,0,0,40.82952881,-73.90680695,Credit card,40,0,0,12.09,0,0.3,52.39
136,2,2016-03-10T07:20:09,2016-03-10T07:27:54,5,2.51,Standard rate,40.7482605,-73.97836304,40.74026108,-73.97467041,Credit card,6,0,0.5,1.36,0,0.3,8.16
137,2,2016-03-10T10:18:11,2016-03-10T10:25:43,1,18.3,Standard rate,40.7253418,-73.99211884,40.73591995,-73.99340057,Credit card,6,0,0.5,1.36,0,0.3,8.16
138,2,2016-03-10T12:07:01,2016-03-10T12:19:56,1,3.3,Standard rate,40.77342606,-73.96000671,40.75381088,-73.97283936,Credit card,8.5,0,0.5,1.86,0,0.3,11.16
139,2,2016-03-10T09:53:02,2016-03-10T10:05:19,5,0.93,Standard rate,40.74863052,-73.98851776,40.76160049,-73.97100067,Credit card,8.5,0,0.5,1.86,0,0.3,11.16
140,2,2016-03-10T12:05:30,2016-03-10T12:23:26,1,3.22,Standard rate,40.77790833,-73.98197174,40.76583862,-73.96305847,Credit card,11,0,0.5,2.36,0,0.3,14.16
141,2,2016-03-10T13:20:52,2016-03-10T13:21:59,3,2.23,Negotiated fare,41.03477097,-74.07308197,41.03474045,-74.07324219,Credit card,118.75,0,0.5,32.51,10.5,0.3,162.56
142,2,2016-03-10T14:02:24,2016-03-10T14:02:40,1,4.44,Negotiated fare,40.7813797,-73.95638275,40.78138733,-73.95639038,Credit card,8.03,0,0,2.08,0,0.3,10.41
143,2,2016-03-10T08:57:02,2016-03-10T08:57:07,2,11.43,Negotiated fare,40.85992813,-74.40651703,40.85992813,-74.40651703,Credit card,180,0,0,45.08,0,0.3,225.38
144,2,2016-03-01T03:44:55,2016-03-01T03:45:16,1,1.37,Negotiated fare,40.78845978,-73.95535278,40.78845978,-73.95535278,Cash,138.08,0,0,0,0,0.3,138.38
145,2,2016-03-10T10:23:16,2016-03-10T10:23:28,1,2.38,Negotiated fare,40.85797882,-73.97624207,40.85797882,-73.97624207,Credit card,120,0,0,30.08,0,0.3,150.38
146,2,2016-03-10T09:05:15,2016-03-10T09:05:22,1,1.91,Negotiated fare,41.05123901,-73.53491211,41.05123901,-73.53491211,Credit card,224.29,0,0,44.92,0,0.3,269.51
147,2,2016-03-10T12:55:51,2016-03-10T12:55:55,1,2.31,Negotiated fare,0,0,0,0,Credit card,88.88,0,0.5,22.42,0,0.3,112.1
148,1,2016-03-01T01:22:46,2016-03-01T01:23:18,1,1.33,Negotiated fare,40.76968002,-73.90997314,40.76971054,-73.90995026,Credit card,21.5,0,0,4.35,0,0.3,26.15
149,2,2016-03-10T14:18:53,2016-03-10T14:18:57,1,4.09,Negotiated fare,0,0,40.68320084,-73.94481659,Credit card,40,0,0,0,0,0.3,40.3
150,1,2016-03-01T05:33:32,2016-03-01T05:33:48,1,4.14,Negotiated fare,40.77403641,-73.87294006,40.77406311,-73.87291718,Credit card,45,0,0,5,0,0.3,50.3
151,2,2016-03-10T12:48:40,2016-03-10T12:48:42,1,6.94,Negotiated fare,40.774086,-73.87297821,40.77414322,-73.87304688,Credit card,50,0,0,0,0,0.3,50.3
152,2,2016-03-10T09:13:00,2016-03-10T09:13:41,1,0.92,Negotiated fare,40.7150383,-74.01611328,40.7150116,-74.01618195,Credit card,63.8,0,0.5,0,0,0.3,64.6
153,2,2016-03-01T04:08:05,2016-03-01T04:08:09,1,2.36,Negotiated fare,0,0,0,0,Credit card,80.3,0,0,0,0,0.3,80.6
154,2,2016-03-10T12:01:37,2016-03-10T12:02:10,2,1.56,Standard rate,0,0,0,0,Cash,1.5,0,0.5,0,0,0.3,2.3
155,2,2016-03-10T12:42:11,2016-03-10T12:42:52,2,2.19,Standard rate,0,0,0,0,Cash,1.5,0,0.5,0,0,0.3,2.3
156,2,2016-03-10T10:29:31,2016-03-10T10:29:57,2,3.87,Standard rate,0,0,0,0,Cash,1.5,0,0.5,0,0,0.3,2.3
157,2,2016-03-10T10:05:38,2016-03-10T10:06:08,2,1.13,Standard rate,0,0,0,0,Cash,1.5,0,0.5,0,0,0.3,2.3
158,2,2016-03-10T10:37:34,2016-03-10T10:38:01,2,1.19,Standard rate,0,0,0,0,Cash,1.5,0,0.5,0,0,0.3,2.3
159,2,2016-03-10T12:33:28,2016-03-10T12:34:03,2,1.22,Standard rate,0,0,0,0,Cash,1.5,0,0.5,0,0,0.3,2.3
160,2,2016-03-10T09:59:18,2016-03-10T09:59:42,2,1.03,Standard rate,0,0,0,0,Cash,1.5,0,0.5,0,0,0.3,2.3
